nst,magError,magNst,longitude,gap,time,type,updated,id,place,latitude,mag,magSource,net,magType,horizontalError,status,depthError,locationSource,dmin,rms,depth
33,0.17,25,-124.0095,184,2016-02-16T22:22:47.070Z,earthquake,2016-02-18T05:03:09.067Z,nc72592650,"36km NNE of Westhaven-Moonstone, California",41.3693333,2.57,nc,nc,md,0.85,reviewed,0.46,nc,0.2117,0.19,34.65
,0.132,17,111.5315,98,2016-02-16T21:29:45.440Z,earthquake,2016-02-17T05:32:17.732Z,us200050n4,"205km S of Ngulung Wetan, Indonesia",-10.1471,4.5,us,us,mb,9.2,reviewed,9.6,us,2.433,0.77,44.43
,0.106,28,131.2677,133,2016-02-16T20:31:03.750Z,earthquake,2016-02-17T22:53:45.780Z,us200050ms,"262km E of Amahai, Indonesia",-3.5496,4.2,us,us,mb,7.5,reviewed,8.1,us,4.404,1.11,37.14
,0.07,65,152.6283,93,2016-02-16T19:07:16.500Z,earthquake,2016-02-17T03:10:38.194Z,us200050mj,"48km WSW of Taron, Papua New Guinea",-4.6406,5,us,us,mb,6.6,reviewed,7.4,us,0.643,1.04,54.22
,0.109,25,172.3997,108,2016-02-16T17:45:40.780Z,earthquake,2016-02-17T20:02:10.913Z,us200050m6,Vanuatu region,-14.3114,4.5,us,us,mb,17,reviewed,13.4,us,5.149,0.68,618.29
,0.086,39,131.2897,65,2016-02-16T17:41:27.130Z,earthquake,2016-02-17T19:54:39.509Z,us200050m3,"265km E of Amahai, Indonesia",-3.5993,4.5,us,us,mb,8.9,reviewed,6.3,us,4.354,0.92,37.63
,0.543,1,-71.3306,156,2016-02-16T16:50:52.090Z,earthquake,2016-02-17T00:53:36.390Z,us200050lr,"30km S of Coquimbo, Chile",-30.2238,4.5,us,us,mb,8,reviewed,8.1,us,0.314,0.88,49.67
,0.526,1,-72.0521,201,2016-02-16T15:49:34.870Z,earthquake,2016-02-16T23:56:06.226Z,us200050ks,"83km WNW of Ovalle, Chile",-30.4432,4.2,us,us,mb,4.4,reviewed,8.8,us,0.427,0.83,18.17
,0.06,86,-175.0637,70,2016-02-16T15:27:19.120Z,earthquake,2016-02-16T23:29:51.275Z,us200050kq,"129km WNW of Neiafu, Tonga",-18.1025,4.8,us,us,mb,10.1,reviewed,7.5,us,4.967,0.99,246.63
,0.065,73,106.9886,63,2016-02-16T15:05:48.680Z,earthquake,2016-02-16T23:09:22.560Z,us200050kh,"0km ESE of Babakan, Indonesia",-7.2494,4.8,us,us,mb,7.2,reviewed,6.7,us,3.431,1.15,126.71
,0.539,1,-70.884,,2016-02-16T13:21:48.000Z,earthquake,2016-02-16T21:24:33.826Z,us200050kb,"65km SW of Taltal, Chile",-25.865,4.4,us,us,mb,7.7,reviewed,9.5,guc,,1.06,55.1
95,0.17,26,-116.8636667,37,2016-02-16T13:03:53.950Z,earthquake,2016-02-17T05:57:43.810Z,ci37524632,"5km NNW of Big Bear City, California",34.3003333,2.61,ci,ci,ml,0.1,reviewed,0.33,ci,0.05622,0.13,3.32
,0.033,291,-104.8367,198,2016-02-16T12:01:42.600Z,earthquake,2016-02-16T20:04:21.333Z,us200050j5,"Off the coast of Michoacan, Mexico",15.5705,4.8,us,us,mb,11.3,reviewed,8.2,us,5.317,1.07,56.75
