time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-16T17:41:27.130Z,-3.5993,131.2897,37.63,4.5,mb,,65,4.354,0.92,us,us200050m3,2016-02-17T19:54:39.509Z,"265km E of Amahai, Indonesia",earthquake,8.9,6.3,0.086,39,reviewed,us,us
2016-02-16T16:50:52.090Z,-30.2238,-71.3306,49.67,4.5,mb,,156,0.314,0.88,us,us200050lr,2016-02-17T00:53:36.390Z,"30km S of Coquimbo, Chile",earthquake,8,8.1,0.543,1,reviewed,us,us
2016-02-16T15:49:34.870Z,-30.4432,-72.0521,18.17,4.2,mb,,201,0.427,0.83,us,us200050ks,2016-02-16T23:56:06.226Z,"83km WNW of Ovalle, Chile",earthquake,4.4,8.8,0.526,1,reviewed,us,us
2016-02-16T15:27:19.120Z,-18.1025,-175.0637,246.63,4.8,mb,,70,4.967,0.99,us,us200050kq,2016-02-16T23:29:51.275Z,"129km WNW of Neiafu, Tonga",earthquake,10.1,7.5,0.06,86,reviewed,us,us
2016-02-16T15:05:48.680Z,-7.2494,106.9886,126.71,4.8,mb,,63,3.431,1.15,us,us200050kh,2016-02-16T23:09:22.560Z,"0km ESE of Babakan, Indonesia",earthquake,7.2,6.7,0.065,73,reviewed,us,us
2016-02-16T13:21:48.000Z,-25.865,-70.884,55.1,4.4,mb,,,,1.06,us,us200050kb,2016-02-16T21:24:33.826Z,"65km SW of Taltal, Chile",earthquake,7.7,9.5,0.539,1,reviewed,guc,us
2016-02-16T13:03:53.950Z,34.3003333,-116.8636667,3.32,2.61,ml,95,37,0.05622,0.13,ci,ci37524632,2016-02-17T05:57:43.810Z,"5km NNW of Big Bear City, California",earthquake,0.1,0.33,0.17,26,reviewed,ci,ci
2016-02-16T12:01:42.600Z,15.5705,-104.8367,56.75,4.8,mb,,198,5.317,1.07,us,us200050j5,2016-02-16T20:04:21.333Z,"Off the coast of Michoacan, Mexico",earthquake,11.3,8.2,0.033,291,reviewed,us,us
2016-02-16T11:57:08.000Z,61.0474,-152.3586,110.1,2.9,ml,,,,0.51,ak,ak12836356,2016-02-16T19:59:47.010Z,"66km NNE of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-02-16T11:02:06.000Z,59.6693,-153.3417,109.4,3.4,ml,,,,0.58,ak,ak12836333,2016-02-16T21:23:45.985Z,"85km W of Anchor Point, Alaska",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-02-16T10:46:27.440Z,-16.4854,-73.6362,10.37,5.4,mb,,132,3.661,1.14,us,us200050iw,2016-02-17T15:42:38.000Z,"99km W of Camana, Peru",earthquake,7.5,4.2,0.03,389,reviewed,us,us
2016-02-16T09:24:20.700Z,34.3026667,-116.8633333,3.14,3.85,mw,115,37,0.05411,0.16,ci,ci37524376,2016-02-18T02:45:44.469Z,"5km NNW of Big Bear City, California",earthquake,0.1,0.35,,6,reviewed,ci,ci
2016-02-16T07:40:45.380Z,19.4048333,-154.9571667,1.638,2.53,ml,25,194,0.05309,0.11,hv,hv61179026,2016-02-16T19:06:14.261Z,"8km SSW of Leilani Estates, Hawaii",earthquake,0.62,0.67,0.117,17,reviewed,hv,hv
2016-02-16T05:14:55.690Z,2.274,125.3654,133.95,4.6,mb,,87,2.495,1.11,us,us200050ht,2016-02-16T13:18:06.190Z,"93km NNE of Bitung, Indonesia",earthquake,9,8,0.091,36,reviewed,us,us
2016-02-16T04:46:46.700Z,31.8551667,-114.8666667,5.94,3.43,ml,16,159,0.4805,0.45,ci,ci37524280,2016-02-17T18:42:45.230Z,"40km SSE of Estacion Coahuila, B.C., MX",earthquake,1.41,31.61,0.17,58,reviewed,ci,ci
2016-02-16T04:20:07.360Z,35.7365,-97.1805,5,2.8,mb_lg,,35,0.081,0.48,us,us200050hh,2016-02-16T15:38:41.556Z,"8km N of Luther, Oklahoma",earthquake,2.1,1.9,0.076,45,reviewed,us,us
2016-02-16T04:04:56.830Z,23.0176,121.0442,10,4.8,mb,,96,0.201,1.1,us,us200050he,2016-02-16T12:07:27.693Z,"30km NNW of Taitung City, Taiwan",earthquake,6.6,1.9,0.061,84,reviewed,us,us
2016-02-16T03:53:39.190Z,36.5866661,-121.18367,2.57,2.6,md,53,53,0.1074,0.09,nc,nc72592170,2016-02-16T23:43:25.519Z,"22km NE of Soledad, California",earthquake,0.14,0.99,0.18,49,automatic,nc,nc
2016-02-16T02:50:03.480Z,11.8073,-86.3882,97.11,4.4,mb,,145,0.421,0.8,us,us200050h5,2016-02-16T10:52:39.970Z,"3km NNW of El Rosario, Nicaragua",earthquake,6.6,9.5,0.19,8,reviewed,us,us
2016-02-16T02:46:01.220Z,22.9822,121.0726,10,4.6,mb,,97,0.163,1.23,us,us200050h7,2016-02-16T03:05:28.807Z,"25km NNW of Taitung City, Taiwan",earthquake,7,1.9,0.107,26,reviewed,us,us
2016-02-16T02:08:23.600Z,17.9311,-66.953,13,2.5,Md,8,219.6,0.08174669,0.3,pr,pr16047000,2016-02-16T10:11:02.244Z,"6km SW of Guanica, Puerto Rico",earthquake,1.7,1.8,0,8,reviewed,pr,pr
2016-02-16T00:44:55.410Z,66.5653,173.6114,14.99,4.6,mb,,169,3.156,1.16,us,us200050gu,2016-02-16T08:47:38.649Z,"269km NW of Anadyr', Russia",earthquake,13.5,7.3,0.141,15,reviewed,us,us
2016-02-16T00:29:46.000Z,58.5077,-151.0093,32.7,2.6,ml,,,,0.74,ak,ak12829591,2016-02-16T20:53:20.681Z,"114km NE of Kodiak, Alaska",earthquake,0.6,3.5,,,reviewed,ak,ak
2016-02-15T23:58:19.410Z,41.3263,71.8152,10,4,mb,,108,1.897,1.23,us,us200050gq,2016-02-16T08:00:59.642Z,"16km NNE of Yangiqo`rg`on, Uzbekistan",earthquake,5.6,1.9,0.173,9,reviewed,us,us
2016-02-15T22:09:27.000Z,51.7022,-172.5854,25,2.6,ml,,,,0.8,ak,ak12828293,2016-02-16T19:15:11.081Z,"123km ESE of Atka, Alaska",earthquake,7.6,8,,,reviewed,ak,ak
2016-02-15T21:53:30.970Z,1.1874,-85.3338,10,4.8,mb,,85,5.286,0.93,us,us200050fd,2016-02-16T05:55:58.509Z,"Off the coast of Ecuador",earthquake,8.6,1.9,0.067,69,reviewed,us,us
2016-02-15T21:44:32.200Z,36.2589,-97.3788,3.75,3.1,mb_lg,,78,0.415,0.43,us,us200050fc,2016-02-16T21:33:55.192Z,"8km WSW of Perry, Oklahoma",earthquake,1.2,7.6,0.064,64,reviewed,us,us
2016-02-15T21:26:00.770Z,-8.3163,159.2543,64.58,4.7,mb,,82,1.308,0.78,us,us200050fa,2016-02-16T05:29:00.295Z,"38km SE of Dadali, Solomon Islands",earthquake,12.1,8.8,0.08,47,reviewed,us,us
2016-02-15T20:51:21.000Z,59.8055,-153.0784,98.9,3.3,ml,,,,0.61,ak,ak12826977,2016-02-16T04:53:50.960Z,"70km W of Anchor Point, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-02-15T19:28:04.980Z,-49.0667,164.456,10,6.2,mwp,,89,3.268,0.94,us,us200050ei,2016-02-16T21:28:12.000Z,"219km NW of Auckland Island, New Zealand",earthquake,8.8,1.9,0.046,54,reviewed,us,us
2016-02-15T19:27:31.710Z,36.4686,-98.7558,15.05,2.8,mb_lg,,123,0.217,0.35,us,us200050ee,2016-02-16T04:52:07.604Z,"33km NW of Fairview, Oklahoma",earthquake,1.6,3.3,0.072,50,reviewed,us,us
2016-02-15T18:55:01.770Z,37.5545,21.6756,15.53,5.3,mb,,37,0.424,1.32,us,us200050cf,2016-02-17T16:46:12.000Z,"7km SSE of Krestena, Greece",earthquake,5.1,4.2,0.05,134,reviewed,us,us
2016-02-15T18:47:52.200Z,37.5758333,-118.8563333,5.48,3.44,ml,49,44,0.02586,0.06,nc,nc72591775,2016-02-16T23:46:11.446Z,"13km SE of Mammoth Lakes, California",earthquake,0.17,0.36,0.2,32,reviewed,nc,nc
2016-02-15T15:42:52.610Z,37.5713333,-118.8573333,5,3.74,ml,41,54,0.02917,0.06,nc,nc72591580,2016-02-17T01:22:38.874Z,"13km SE of Mammoth Lakes, California",earthquake,0.18,0.36,0.216,58,reviewed,nc,nc
2016-02-15T15:02:32.940Z,-20.9773,-175.4802,10,5.9,mwb,,47,5.552,0.65,us,us200050a6,2016-02-16T21:14:14.000Z,"33km WNW of Nuku`alofa, Tonga",earthquake,3.3,1.8,0.036,73,reviewed,us,us
2016-02-15T14:49:14.370Z,36.1496,-97.4564,5.9,2.5,mb_lg,,92,0.352,0.5,us,us200050a1,2016-02-15T19:51:08.407Z,"21km SW of Perry, Oklahoma",earthquake,1.4,7.1,0.228,5,reviewed,us,us
2016-02-15T14:43:57.000Z,53.1976,-166.8032,25.7,3.6,ml,,,,0.41,ak,ak12823427,2016-02-15T22:46:28.036Z,"77km SSW of Unalaska, Alaska",earthquake,0.8,3.8,,,reviewed,ak,ak
2016-02-15T13:30:01.000Z,57.111,-143.3726,12,3.5,ml,,,,0.68,ak,ak12822844,2016-02-15T21:32:35.650Z,"Gulf of Alaska",earthquake,4.2,5.5,,,reviewed,ak,ak
2016-02-15T13:14:24.740Z,9.2988,-70.3806,5,4.4,mb,,51,0.482,1.01,us,us2000509i,2016-02-15T21:17:04.251Z,"9km SE of Trujillo, Venezuela",earthquake,3.2,1.9,0.149,13,reviewed,us,us
2016-02-15T13:10:33.430Z,36.2752,-97.707,5.06,2.6,mb_lg,,66,0.319,0.35,us,us2000509f,2016-02-15T17:05:27.303Z,"17km E of Waukomis, Oklahoma",earthquake,1.3,7.6,0.081,40,reviewed,us,us
2016-02-15T10:41:47.000Z,60.8933,-150.0164,44.9,4.2,ml,117,61.1999951040004,0.2362569,0.82,ak,ak12821200,2016-02-17T20:02:40.760Z,"36km SSW of Anchorage, Alaska",earthquake,0.2,0.2,,,reviewed,ak,ak
2016-02-15T09:30:53.000Z,36.0734,-97.0548,5.105,2.6,ml,,52,,0.81,us,us2000508j,2016-02-17T07:59:08.012Z,"4km S of Stillwater, Oklahoma",earthquake,1.3,4.8,,,reviewed,tul,tul
2016-02-15T08:03:33.700Z,17.8845,-68.8981,88,2.8,Md,6,248.4,0.79500903,0.41,pr,pr16046001,2016-02-15T16:06:10.694Z,"60km S of La Romana, Dominican Republic",earthquake,4.7,5.9,0,5,reviewed,pr,pr
2016-02-15T07:46:16.410Z,-12.1647,-77.541,43.11,3.9,mb,,193,0.705,0.77,us,us200050sl,2016-02-17T04:26:16.158Z,"43km WSW of Callao, Peru",earthquake,9.8,14.2,0.209,6,reviewed,us,us
